id,stage,accuracy,completeness,innovation,difficulty,n_user_messages,n_internet_resources,time_to_complete_sec
18,magnification,6,3,2,3,0,16,2321
19,magnification,1,0,0,4,2,6,5090
20,magnification,4,1,2,6,2,16,2229
21,magnification,3,0,0,8,0,21,2711
22,magnification,5,4,0,3,0,0,883
23,magnification,4,2,0,4,2,7,2590
24,magnification,1,1,0,4,0,67,3429
25,magnification,5,1,0,2,0,19,1750
26,magnification,7,3,0,3,7,2,1686
27,magnification,1,0,0,9,0,64,6250
28,magnification,3,2,1,2,0,5,1675
29,magnification,4,2,0,1,0,2,2422
30,magnification,3,1,0,2,2,1,1628
31,magnification,3,6,2,1,7,7,2128
32,magnification,1,0,0,2,4,0,318
33,magnification,4,2,0,4,0,11,1721
34,magnification,4,2,0,2,7,5,812
35,magnification,3,2,0,2,0,15,2101
36,magnification,5,5,2,,6,1,2200
37,magnification,5,4,0,4,44,11,6276
38,magnification,4,5,0,6,0,20,2500
39,magnification,4,0,0,1,0,23,2291
40,magnification,1,0,4,7,5,4,1230
41,magnification,3,1,0,1,1,0,229
42,magnification,4,2,0,7,7,0,1216
43,magnification,5,5,0,3,16,2,3909
44,magnification,1,1,1,2,5,5,1159
45,magnification,5,3,0,2,6,0,1540
46,magnification,1,0,0,5,0,5,737
47,magnification,1,1,0,8,0,11,1210
48,magnification,5,0,0,7,0,1,1411
49,magnification,4,2,0,9,10,20,3646
50,magnification,1,0,0,8,0,21,3335
51,magnification,3,2,2,7,0,36,3900
52,magnification,1,0,0,6,0,11,3248
53,magnification,3,1,2,2,0,7,607
54,magnification,8,4,0,4,0,16,1842
55,magnification,4,4,0,1,7,28,1483
56,magnification,3,3,0,2,0,15,1457
57,magnification,2,0,1,6,0,11,580
58,magnification,8,8,0,3,14,3,1540
59,magnification,3,1,2,2,0,11,2797
60,magnification,8,3,0,6,8,4,1842
61,magnification,5,2,0,6,0,13,3885
62,magnification,3,4,0,8,4,16,2973
63,magnification,4,2,0,6,0,11,1125
64,magnification,4,3,0,1,0,14,778
65,magnification,7,4,0,2,4,0,1782
66,magnification,4,2,0,3,10,8,3944
67,magnification,3,0,0,5,13,7,5054
68,magnification,1,0,0,1,0,13,1776
69,magnification,2,4,2,3,0,20,2720
70,magnification,1,0,0,4,0,8,2190
71,magnification,5,5,0,3,0,8,7497
72,magnification,3,1,0,4,0,2,403
73,magnification,5,2,0,8,4,16,1136
74,magnification,3,2,0,6,0,23,1481
75,magnification,3,1,0,9,2,3,2444
76,magnification,9,10,4,7,9,16,2098
77,magnification,5,4,0,3,0,19,4381
78,magnification,8,4,0,2,10,5,4043
79,magnification,1,0,0,5,0,6,1345
80,magnification,3,1,0,9,0,33,2793
81,magnification,3,3,0,2,15,12,2221
82,magnification,5,0,0,2,0,4,1422
83,magnification,5,3,0,3,9,3,2941
84,magnification,2,1,1,9,0,0,44
85,magnification,3,2,0,2,0,14,1511
86,magnification,5,5,2,2,7,0,1223
87,magnification,3,2,0,2,0,4,1312
88,magnification,4,5,0,1,0,10,3416
89,magnification,5,3,0,4,0,12,2086
90,magnification,0,0,0,10,0,0,43
91,magnification,5,1,1,1,2,2,2240
92,magnification,5,5,0,1,0,7,2927
93,magnification,5,3,0,2,4,4,1945
94,magnification,3,2,0,1,2,9,868
95,magnification,4,3,0,9,0,19,3746
96,magnification,4,3,0,1,0,9,1170
97,magnification,1,2,0,2,8,14,1492
98,magnification,5,0,0,2,0,14,2330
99,magnification,1,3,0,5,5,16,2614
0,formulation,3,2,0,2,0,5,1151
1,formulation,3,2,0,5,0,25,1189
2,formulation,4,3,2,5,1,17,1088
3,formulation,4,3,0,7,3,9,1498
4,formulation,3,1,0,2,0,0,1291
5,formulation,6,3,0,5,39,1,3890
6,formulation,4,3,0,3,3,2,1525
7,formulation,3,2,0,3,0,12,859
8,formulation,1,1,2,2,0,0,785
9,formulation,3,0,0,3,0,15,1496
10,formulation,4,3,2,3,5,6,1670
11,formulation,6,2,2,3,0,31,4316
12,formulation,3,1,0,9,0,8,1756
13,formulation,6,3,1,6,0,8,1686
14,formulation,6,2,0,5,0,23,1975
15,formulation,4,3,2,5,0,48,2059
16,formulation,1,1,1,5,0,4,819
17,formulation,1,1,0,6,0,27,1448
18,formulation,3,2,2,6,0,12,1181
19,formulation,5,3,0,6,10,1,1622
20,formulation,3,0,0,5,1,8,729
21,formulation,4,1,0,5,0,14,1104
22,formulation,8,2,2,7,27,80,6804
23,formulation,4,4,2,6,7,7,1992
24,formulation,6,2,0,9,0,81,2313
25,formulation,4,1,2,3,0,21,1329
26,formulation,7,7,2,5,8,3,2045
27,formulation,1,1,0,10,0,38,2830
28,formulation,6,2,0,2,0,4,1664
29,formulation,4,1,2,4,0,15,1261
30,formulation,1,0,2,7,,,
31,formulation,4,4,10,5,6,8,1596
32,formulation,4,4,4,3,9,5,1512
33,formulation,4,2,2,5,0,6,1157
34,formulation,6,1,0,4,13,4,1723
35,formulation,6,2,2,3,0,24,2355
36,formulation,6,3,2,,10,0,1402
37,formulation,4,3,0,1,6,11,639
38,formulation,4,3,0,3,0,24,2544
39,formulation,6,2,2,1,0,12,917
40,formulation,0,4,0,9,12,3,1186
41,formulation,5,2,0,2,14,5,2174
42,formulation,5,3,2,5,4,0,1328
43,formulation,4,1,2,1,4,0,1421
44,formulation,6,3,0,5,5,4,1737
45,formulation,4,1,0,6,23,0,2822
46,formulation,0,0,2,5,0,5,800
47,formulation,1,4,2,4,0,18,1170
48,formulation,3,0,0,8,0,2,3045
49,formulation,6,4,0,1,4,8,1436
50,formulation,6,4,6,2,0,11,1971
51,formulation,1,1,0,4,0,36,1461
52,formulation,4,1,0,4,0,7,1165
53,formulation,5,3,0,3,0,9,612
54,formulation,5,4,0,2,0,10,1452
55,formulation,7,5,4,2,4,1,1050
56,formulation,3,2,0,5,0,18,2817
57,formulation,0,1,0,10,0,15,1428
58,formulation,4,2,0,1,3,1,1001
59,formulation,4,2,4,1,0,8,1014
60,formulation,5,3,0,2,5,0,1011
61,formulation,0,2,0,10,0,12,3720
62,formulation,6,5,2,5,6,13,2784
63,formulation,5,4,0,7,0,22,1857
64,formulation,8,3,1,5,0,15,2646
65,formulation,3,4,0,7,4,0,1117
66,formulation,4,1,0,8,6,12,1763
67,formulation,3,3,2,3,,,
68,formulation,4,2,0,2,0,11,1490
69,formulation,4,4,2,3,0,9,1249
70,formulation,1,3,0,7,0,4,1893
71,formulation,1,1,0,3,0,7,919
72,formulation,3,2,0,8,0,3,2030
73,formulation,8,2,0,5,7,30,1036
74,formulation,4,2,0,8,0,18,1192
75,formulation,1,0,0,7,4,10,2907
76,formulation,7,7,0,5,6,11,1592
77,formulation,5,2,2,4,0,19,2927
78,formulation,6,2,2,1,7,3,987
79,formulation,1,0,0,10,0,18,2694
80,formulation,3,1,2,5,0,18,2161
81,formulation,4,0,2,2,11,7,1899
82,formulation,6,6,0,4,0,0,2880
83,formulation,6,4,0,3,4,8,2184
84,formulation,1,1,0,10,0,4,5926
85,formulation,5,2,2,1,0,9,753
86,formulation,9,3,2,4,5,0,793
87,formulation,4,2,2,5,0,12,1702
88,formulation,4,3,0,1,0,11,827
89,formulation,4,5,4,3,1,10,2495
90,formulation,5,1,0,5,0,52,4773
91,formulation,4,3,2,10,2,10,2627
92,formulation,3,4,2,7,0,44,2253
93,formulation,6,2,0,1,2,3,1130
94,formulation,8,4,2,3,0,13,1240
95,formulation,4,3,0,6,0,11,2603
96,formulation,6,3,2,4,0,13,2934
97,formulation,1,2,2,3,16,15,2983
98,formulation,5,2,0,7,0,14,1446
99,formulation,4,3,0,6,4,14,1699
0,release,6,2,0,5,0,23,1816
1,release,3,2,0,3,0,9,547
2,release,3,3,0,3,5,5,956
3,release,3,3,0,2,6,20,1312
4,release,1,0,0,3,0,0,1183
5,release,6,4,0,3,0,8,1983
6,release,3,1,0,4,5,13,1493
7,release,1,1,1,2,0,3,894
8,release,3,1,0,2,0,5,1072
9,release,3,4,0,6,0,20,3674
10,release,3,1,0,3,12,11,1770
11,release,3,2,0,5,0,23,1040
12,release,3,2,0,2,0,13,2334
13,release,2,2,1,2,0,7,1428
14,release,2,1,0,3,0,16,766
15,release,3,1,0,2,0,14,1322
16,release,6,3,0,6,0,15,1924
17,release,3,1,0,4,0,27,1215
18,release,8,2,0,4,0,14,3083
19,release,6,5,0,4,6,1,959
20,release,2,4,1,5,8,21,3649
21,release,6,2,0,3,0,7,1132
22,release,8,2,0,3,0,5,1136
23,release,2,2,0,3,5,5,1935
24,release,2,1,0,2,0,14,1097
25,release,2,2,1,1,0,16,1695
26,release,3,4,1,1,15,0,3529
27,release,1,2,0,5,0,20,1061
28,release,2,2,0,1,0,0,392
29,release,3,2,0,5,0,31,2165
30,release,2,3,2,6,11,1,1541
31,release,2,2,2,3,6,4,2490
32,release,8,1,0,4,8,4,836
33,release,4,1,0,2,0,1,1620
34,release,1,0,0,2,3,5,2126
35,release,6,1,0,3,0,16,1472
36,release,8,3,0,,5,3,1062
37,release,6,2,1,3,8,4,799
38,release,2,3,1,2,0,24,1696
39,release,8,2,0,1,0,6,999
40,release,3,4,1,4,7,12,1106
41,release,2,3,0,1,10,3,1390
42,release,3,1,0,2,4,0,1107
43,release,6,1,1,2,11,0,1631
44,release,2,2,0,3,10,4,1456
45,release,3,3,1,4,10,0,1173
46,release,3,1,0,2,0,2,468
47,release,3,3,1,5,0,21,2380
48,release,2,1,0,4,0,2,847
49,release,8,2,0,3,6,11,1170
50,release,4,3,0,4,0,13,2475
51,release,3,4,0,3,0,33,1739
52,release,2,2,1,4,0,31,6135
53,release,3,2,0,1,0,31,887
54,release,3,4,0,3,0,11,1282
55,release,8,1,1,5,10,59,2262
56,release,4,2,0,2,0,7,560
57,release,4,1,0,3,0,15,1408
58,release,8,3,2,1,6,0,1379
59,release,2,1,1,1,0,1,740
60,release,4,2,0,2,4,2,748
61,release,2,0,0,3,0,2,171
62,release,3,2,0,2,13,19,3966
63,release,3,1,0,5,0,10,522
64,release,3,2,1,3,0,9,1385
65,release,3,1,0,1,5,0,727
66,release,4,0,1,4,0,6,1369
67,release,3,2,1,3,0,4,1482
68,release,3,2,0,1,0,8,710
69,release,3,3,0,2,0,5,583
70,release,2,1,0,2,0,12,3737
71,release,3,1,0,1,0,5,359
72,release,3,1,0,3,0,1,214
73,release,8,2,0,5,0,33,2720
74,release,2,4,1,1,0,43,3415
75,release,3,1,0,3,4,4,764
76,release,2,4,0,4,12,24,3000
77,release,3,1,0,2,0,16,1133
78,release,2,1,0,1,1,1,873
79,release,2,1,0,4,0,4,876
80,release,2,1,0,1,0,14,1024
81,release,3,4,1,2,11,21,2186
82,release,3,3,0,2,0,2,887
83,release,3,3,0,2,3,0,1466
84,release,4,1,0,1,0,0,69
85,release,2,5,1,3,0,33,3130
86,release,2,1,1,1,3,0,2088
87,release,3,2,0,3,0,14,1822
88,release,3,4,0,2,0,14,2449
89,release,3,4,0,4,0,22,2224
90,release,4,1,0,3,0,38,3287
91,release,4,3,0,3,5,11,4389
92,release,3,2,0,1,0,9,1869
93,release,3,3,0,2,2,11,1306
94,release,3,2,0,2,19,0,1937
95,release,3,3,0,8,0,15,1815
96,release,4,1,1,3,0,16,1538
97,release,2,4,2,5,25,15,2748
98,release,6,2,0,1,0,28,1904
99,release,3,1,0,1,2,3,881
